Architecture,Starting LR,Optimizer,Weight Decay,Mixup,Dropout,Epoch,Loss Train,Loss Val,AUC Val,Total time (min)
DenseNet121,0.05,AdamW,0.001,FALSE,0.5,15,0.602,0.620,0.692,246.08
DenseNet121,0.01,AdamW,0.001,FALSE,0,21,0.608,0.617,0.690,331.98
DenseNet121,0.01,AdamW,0.001,FALSE,0.5,15,0.605,0.616,0.689,253.47
DenseNet121,0.05,SGD,0.001,TRUE,0.5,16,0.635,0.623,0.689,248.89
DenseNet121,0.005,AdamW,1.00E-05,TRUE,0,12,0.630,0.616,0.688,201.47
DenseNet121,0.05,AdamW,0.001,TRUE,0.5,24,0.638,0.625,0.677,383.94
DenseNet121,0.005,AdamW,0.0001,FALSE,0.5,19,0.610,1.165,0.674,309.88
DenseNet121,0.05,AdamW,0,TRUE,0,14,0.635,0.627,0.672,230.85
DenseNet121,0.05,AdamW,1.00E-05,FALSE,0.5,17,0.610,0.625,0.672,280.74
DenseNet121,0.01,AdamW,0.0001,FALSE,0,12,0.616,0.629,0.668,198.68
DenseNet121,0.005,AdamW,0,TRUE,0,14,0.640,0.625,0.667,233.74
DenseNet121,0.005,AdamW,0.0001,TRUE,0.5,13,0.636,0.631,0.666,213.63
DenseNet121,0.05,AdamW,0.001,TRUE,0,15,0.641,0.633,0.662,244.26
DenseNet121,0.05,AdamW,0,FALSE,0,14,0.626,0.638,0.661,226.69
DenseNet121,0.01,AdamW,0.0001,TRUE,0.5,12,0.642,0.629,0.659,199.94
DenseNet121,0.005,AdamW,1.00E-05,TRUE,0.5,12,0.646,0.638,0.658,206.96
DenseNet121,0.005,AdamW,0.001,TRUE,0.5,23,0.646,0.637,0.657,447.47
DenseNet121,0.05,AdamW,0,TRUE,0.5,14,0.645,0.661,0.655,232.92
DenseNet121,0.1,AdamW,1.00E-05,FALSE,0,12,0.630,0.641,0.653,203.99
DenseNet121,0.05,AdamW,0.0001,FALSE,0,24,0.632,0.642,0.652,378.45
DenseNet121,0.05,AdamW,0,FALSE,0.5,16,0.628,0.645,0.647,265.14
DenseNet121,0.05,AdamW,0.0001,TRUE,0.5,14,0.652,0.646,0.644,231.36
DenseNet121,0.05,SGD,0.001,FALSE,0.5,12,0.637,0.644,0.643,195.42
